'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'186 THE MILITARY BALANCE 2013",'0,'53.32031250
'1,'Text 1,"'AFGHANISTAN",'1,'56.39648438
'1,'Text 2,"'NATO ISAF 1,328; 1 inf bde HQ; 2 inf bn UN UNAMA 1 obs",'2,'84.47265625
'1,'Text 3,"'ARABIAN SEA & GULF OF ADEN Combined Maritime Forces CTF-151: 1 FFGHM",'3,'60.00976563
'1,'Text 4,"'BOSNIA-HERZEGOVINA",'4,'57.47070313
'1,'Text 5,"'EU EUFOR Operation Althea 288; 1 inf coy",'5,'65.03906250
'1,'Text 6,"'CYPRUS (NORTHERN)",'6,'45.43457031
'1,'Text 7,"'Army 43,000 1 army corps HQ; 1 armd bde; 2 mech inf div; 1 avn comd; 8 M-48A2 training; 340 M48A5T1/T2; 361 AAPC (incl variants); 266 M113 (incl variants); (towed arty) 102: 105mm 72 M101A1; 155mm 18 M114A2; 203mm 12 M115; (SP) 155mm 90 M-44T; (MRL) 122mm 6 T-122; (MOR) 450: 81mm 175; 107mm 148 M-30; 120mm 127 HY-12; (AT MSL) 114: 66 Milan; 48 TOW; (RCL) 106mm 192 M40A1; 90mm M67; (AD towed) 20mm Rh 202; 35mm GDF 16 GDF-003; 40mm 48 M1; 3 Cessna 185 (U-17) ac; 1 AS532UL Cougar; 3 UH-1H Iroquois hel; 1 PB",'7,'94.92187500
'1,'Text 8,"'LEBANON",'8,'45.70312500
'1,'Text 9,"'UN UNIFIL 452; 1 engr coy; 1 FFGH",'9,'77.53906250
'1,'Text 10,"'MEDITERRANEAN SEA",'10,'61.96289063
'1,'Text 11,"'NATO Operation Active Endeavour 1 FFGHM NATO SNMCMG 2: 1 MHO",'11,'30.66406250
'1,'Text 12,"'SERBIA",'12,'45.99609375
'1,'Text 13,"'NATO KFOR 402; 1 inf coy; elm 1 MP coy UN UNMIK 1 obs",'13,'84.42382813
'1,'Section header 1,"'FOREIGN FORCES",'14,'66.21093750
'1,'Text 14,"'United States US European Command: 1,500; 4 MQ-1B Predator UAV at Incirlik; 1 spt facility at Izmir; 1 spt facility at Ankara; 1 air base at Incirlik US Strategic Command: 1 Spacetrack Radar at Incirlik",'15,'95.89843750
'1,'Text 15,"'United Kingdom UK",'16,'50.19531250
'1,'Table 1,"",'17,'94.48242188
'1,'Text 16,"'a Net Cash Requirement figures. These will differ from official figures based on Resource Accounting & Budgeting. Excludes military pensions covered by the Armed Forces Pension Scheme (AFPS) and the Armed Forces Compensation Scheme (AFCS).",'18,'83.69140625
'1,'Text 17,"'b NATO definition",'19,'54.00390625
'1,'Text 18,"'Population 63,047,162",'20,'82.86132813
