"'LCA","'3 sqn opcon Royal Navy; 1 sqn (539 Aslt Sqn RM)",
"'Sy","'1 Fleet Protection Group, opcon Royal Navy",
"'SF","'1 (SBS) regt",
"'Cdo","'1 bde (3 cdo (bn sized), 1 recce tp, 1 It inf bn (army) 1 cdo arty regt (army))",
"'AD","'1 bty (army)",
"'Engr","'1 regt (army)",
"'Logistic","'1 regt",
"'Tpt Hel","'2 sqn opcon Royal Navy",
,

'Confidence Scores % (Table Cell)
"'91.79687500","'96.82617188",
"'42.67578125","'44.97070313",
"'44.48242188","'46.89941406",
"'91.01562500","'95.94726563",
"'85.49804688","'90.13671875",
"'84.71679688","'89.35546875",
"'81.44531250","'85.88867188",
"'89.25781250","'94.09179688",
