"'British Pound","'£","'2009","'2010","'2011",
"'GDP","'£","'1.39tr","'1.46tr","'",
"'","'US$","'2.18tr","'2.25tr","'",
"'per capita","'US$","'35,235","'36,427","'",
"'Growth","'%","'-4.9","'1.2","'",
"'Inflation","'%","'-0.6","'3.0","'",
"'Def expb","'£","'37.8bn","'","'",
"'","'US$","'59.1bn","'","'",
"'Def bdgt","'£","'38.7bn","'36.7bn","'32.9bn",
"'","'US$","'60.5bn","'56.5bn","'",
"'US$1=£","'","'0.64","'0.65","'",
,,,,

'Confidence Scores % (Table Cell)
"'86.81640625","'81.05468750","'90.03906250","'88.28125000","'82.47070313",
"'74.60937500","'69.67773438","'77.39257813","'75.87890625","'70.89843750",
"'71.82617188","'67.08984375","'74.51171875","'73.04687500","'68.26171875",
"'84.03320313","'78.46679688","'87.15820313","'85.49804688","'79.83398438",
"'83.59375000","'78.07617188","'86.71875000","'85.00976563","'79.44335938",
"'82.56835938","'77.09960938","'85.64453125","'83.98437500","'78.46679688",
"'66.16210938","'61.81640625","'68.65234375","'67.33398438","'62.89062500",
"'59.47265625","'55.56640625","'61.71875000","'60.49804688","'56.54296875",
"'71.67968750","'66.94335938","'74.36523438","'72.94921875","'68.11523438",
"'67.96875000","'63.47656250","'70.50781250","'69.14062500","'64.59960938",
"'85.88867188","'80.22460938","'89.06250000","'87.35351563","'81.59179688",
